playername,playername_original,league,_source_year,split,position,teamname,talent_score,score_percentile,promoted_to_lec,win_rate,games_played,champion_pool_size,dpm_zscore,cspm_zscore,golddiffat15_zscore
honor,HONOR,LFL,2025,Flash In,sup,GameWard,0.5923883717409006,14.222222222222221,False,0.1666666666666666,6,4,1.4390455194385732,-0.1742508622348712,-0.6666026619447861
harbo,Harbo,NLC,2025,Spring,mid,Lundqvist Lightside,0.5918431155922774,10.738255033557047,False,0.3333333333333333,9,6,-0.4030936956459466,-1.3702249909614257,0.113215982097818
deimos,Deimos,LFL2,2024,Spring,top,Lille Esport,0.5918414799849102,11.1358574610245,False,0.6666666666666666,6,3,-0.0179452859110575,-1.367668870611808,0.0192927654066403
blue,Blue,TCL,2024,Summer,mid,Beşiktaş Esports,0.5907953898330066,10.51454138702461,False,0.3333333333333333,6,5,-0.2800237314951819,0.468045486541283,0.3683879726578495
peco,Peco,PRM,2024,unknown,bot,FC Schalke 04 Esports,0.5901907552840419,12.938596491228072,False,0.4166666666666667,12,8,-0.3075034154470005,0.389762704408827,-0.1822341083042835
vayu,vayu,NLC,2025,Summer,top,KAOS e-sport,0.5875661641721927,10.913140311804009,False,0.1111111111111111,9,6,-0.9136015642095692,-1.707563032080964,-1.673504143770362
c7,C7,LFL2,2024,unknown,top,Klanik Esport,0.5869200008938714,10.690423162583519,False,0.4444444444444444,9,3,-0.7088692151857742,0.348082361654367,0.1189868753641517
ag0nypain,Ag0nyPain,NLC,2024,Spring,mid,DMG Esports,0.5858713886267569,10.290827740492169,False,0.2142857142857142,14,4,-1.8119213165598755,-1.15884318879692,-1.819065635521036
luke,Luke,NLC,2026,Winter,sup,La BOMBAS,0.5832165676594759,14.000000000000002,False,0.2222222222222222,9,4,0.1653350040811646,1.3724402056491989,-0.1056201142338901
elijah,Elijah,NLC,2026,Winter,top,Lundqvist Lightside,0.5793433945311247,10.46770601336303,False,0.4285714285714285,7,3,0.4820719623016669,0.2242011460491627,1.6846892123905128
cha0s,Cha0s,PRM,2025,unknown,top,A One Man Army Prime,0.5792268503811502,10.244988864142538,False,0.5714285714285714,7,5,-0.7842271361099388,0.9376973244932792,0.3603062927253057
zeta,zeta,NLC,2025,unknown,sup,Brod n Friends,0.578128029165015,13.777777777777779,False,0.6,5,4,0.5384469698302841,-0.4158098205038573,0.6642243819695122
twelve,Twelve,LFL2,2024,Spring,top,Zerance,0.5757716513565894,10.022271714922049,False,0.5,6,4,-1.1671791104637663,0.643729903598302,-0.8636727980372657
fornoreason,Fornoreason,PRM,2024,unknown,top,MOUZ NXT,0.5718484953495298,9.799554565701559,False,0.25,8,3,2.148028989798156,-0.7061125070551857,0.7101384169514603
d4nka,D4nKa,PRM,2026,Winter,jng,Eintracht Frankfurt,0.5713944186552387,13.347921225382933,False,0.4444444444444444,9,3,0.3028476989918268,0.7495284802104463,-0.2162692972927733
mathisv,MathisV,LFL2,2025,Summer,mid,Karmine Corp Blue Stars,0.5712827079777143,10.06711409395973,False,0.2857142857142857,14,8,-2.1170668559897217,-0.0755061889094974,-1.4422893660970966
vizicsacsi,Vizicsacsi,PRM,2026,Winter,top,E WIE EINFACH E-SPORTS,0.5684945033874732,9.57683741648107,False,0.3333333333333333,9,6,-0.6113250333708282,-2.3209310831390164,-0.82008323805156
midnight,Midnight,LVP SL,2025,unknown,mid,Nocturne Gale,0.5680665926776048,9.843400447427292,False,0.4,10,7,-0.7071067811865481,-0.7071067811865495,-0.7071067811865475
crow,Crow,NLC,2024,unknown,sup,Ruzeh Esports,0.5651492832240224,13.555555555555557,False,0.4,5,2,-0.258843977407825,-0.0018677755814247,0.0769046820204168
jopa,Jopa,LFL,2025,Flash In,bot,Vitality.Bee,0.5640245668521804,12.719298245614036,True,0.5,8,5,0.0293607159075266,-1.1970364038992392,-1.697747780467336
sniiier,SniIIer,NLC,2025,Summer,sup,KAOS e-sport,0.5636773264640743,13.333333333333334,False,0.1111111111111111,9,6,0.6796846282417791,0.3050565871033862,-0.3666389211636722
noname,NoName,LVP SL,2024,unknown,jng,ZETA,0.5631176227015717,13.129102844638949,False,0.375,8,6,-0.7071067811865475,-0.7071067811865475,-0.7071067811865476
lucker,Lucker,LFL2,2024,Spring,bot,Esprit Shōnen,0.5628482243237685,12.5,False,0.6666666666666666,6,5,-0.6717730412371914,-0.4857536940126439,0.7051084964462311
kkt,KKT,NLC,2026,Summer,jng,Bulldog Esports,0.5618437581902032,12.910284463894966,False,0.5,6,3,-1.3430815381840842,0.2119489154631143,0.0660448477502487
stefan,Stefan,TCL,2025,Winter,jng,ULF Esports,0.5590655030804131,12.691466083150985,False,0.1428571428571428,14,8,-1.3070854901112987,-0.3060140393719862,-0.750068420420491
noz2k,Noz2k,PRM,2025,Finals,bot,E WIE EINFACH E-SPORTS,0.5589491503852759,12.280701754385964,False,0.4,5,5,-1.3656456613795611,1.1860716312621746,-1.349856885079651
mkl,MKL,NLC,2025,unknown,bot,B2U,0.5568456431337102,12.06140350877193,False,0.5,8,6,-0.3128159658582425,-0.7383401386582946,0.9252229966384744
wormsoil,Wormsoil,NLC,2026,Summer,top,Absolved,0.5547348842618758,9.35412026726058,False,0.3333333333333333,6,4,0.2396013908040202,-1.0506957639517625,-0.0987226241278654
leolecargo,LeoLeCargo,NLC,2025,Winter,sup,Lundqvist Lightside,0.5531149575239674,13.111111111111112,False,0.3333333333333333,12,6,-1.1611182292761093,-0.8953708284554666,-1.359805260041011
bust,Bust,NLC,2025,Summer,top,Venomcrest Esports,0.5523944270585534,9.131403118040089,False,0.2222222222222222,9,6,-0.9704217976768034,0.3729010559358218,-0.0304545395407648
simpy,Simpy,LVP SL,2025,unknown,sup,Nocturne Gale,0.5520506055415905,12.88888888888889,False,0.4,10,8,-0.7071067811865479,0.7071067811865476,0.7071067811865476
urban,Urban,PRM,2026,Winter,sup,A One Man Army Prime,0.5490715348466363,12.666666666666668,False,0.1666666666666666,6,5,0.2980092757708708,2.2192603981138537,0.8231565081900857
venour,Venour,PRM,2026,Winter,top,Kaufland Hangry Knights,0.5489286717509155,8.908685968819599,False,0.4285714285714285,7,6,-0.0221447546489955,0.4070513471054917,0.7462018112376415
reptile,Reptile,PRM,2025,Summer,bot,CGN Esports,0.5453816462200883,11.842105263157894,False,0.4285714285714285,7,5,-0.7826960274370804,1.0276391069432276,-0.5191572087766533
slice,Slice,NLC,2026,Spring,jng,Lund Esports Organization,0.5438954828292554,12.472647702407002,False,0.2857142857142857,7,5,-0.0727695521146863,0.2029265230469609,-1.3887627132041398
kenal,Kenal,PRM,2025,Finals,bot,Austrian Force willhaben,0.5392805380865385,11.62280701754386,False,0.4,5,5,1.7141152574400222,-1.805426807217548,1.6182198913175256
patkicaa,PatkicaA,LFL,2024,unknown,top,Ici Japon Corp. Esport,0.5391051087928176,8.68596881959911,False,0.5454545454545454,11,4,-0.7071067811865476,-0.7071067811865475,-0.7071067811865475
tumay,Tumay,TCL,2024,Winter,jng,Galakticos,0.5390158313469342,12.25382932166302,False,0.0,12,8,-0.8515043231809555,-1.643926224262762,-1.9104238227075745
hybradge,hybradge,NLC,2025,Spring,jng,Lundqvist Lightside,0.5383078873000586,12.035010940919037,False,0.3333333333333333,9,7,-0.9846084912808364,0.122507918529115,-0.0355519154824364
ryuk,Ryuk,PRM,2026,Winter,bot,TeamOrangeGaming,0.5365541654173517,11.403508771929824,False,0.3333333333333333,6,4,1.8092920249337991,-0.613785873977799,2.272288480884771
akabane,Akabane,LVP SL,2024,Spring,jng,GIANTX iTero,0.5364829850140559,11.816192560175056,False,0.375,8,6,-1.143821879035143,-0.3668717725801856,-0.2795995026348684
egetz,Egetz,NLC,2024,Summer,sup,BlueWhites,0.5347596087028417,12.444444444444445,False,0.0909090909090909,11,10,0.4978901715791605,-0.5861900365787074,-1.2779793298400255
selenex,selenex,LVP SL,2025,Winter,top,Guasones,0.5340469712729499,8.463251670378618,False,0.1111111111111111,9,5,-0.5525034064410455,-0.3302470980919413,-2.043431223608005
mercy9,Mercy9,LVP SL,2025,Final Four,mid,Team Heretics Academy,0.5335751591546289,9.619686800894854,False,0.5,8,6,-0.7071067811865469,-0.7071067811865526,-0.7071067811865475
yashiro,Yashiro,NLC,2024,unknown,bot,Ruzeh Esports,0.533264020322628,11.18421052631579,False,0.375,8,5,0.2246806277720883,0.4685892985932341,0.983760016744005
relative,Relative,PRM,2026,Winter,mid,E WIE EINFACH E-SPORTS,0.5301746959034045,9.395973154362416,False,0.3333333333333333,9,8,-1.3431987505566558,-0.1860899923796744,-0.9522780249582664
